roll_number,full_name,email,department_code,class_name,semester,mentor_email
LDCE-CE-019,Parth Bhatt,parth.bhatt@ldce.ac.in,CE,CE-A,3,rajesh.patel@ldce.ac.in
LDCE-CE-020,Snehal Rane,snehal.rane@ldce.ac.in,CE,CE-A,3,meena.shah@ldce.ac.in
LDCE-CE-021,Advait Gupta,advait.gupta@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-022,Shreya Reddy,shreya.reddy@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-023,Ayaan Singh,ayaan.singh@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-024,Tara Menon,tara.menon@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-CE-025,Siddharth Kapoor,siddharth.kapoor@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-CE-026,Aisha Khan,aisha.khan@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-CE-027,Arnav Soni,arnav.soni@ldce.ac.in,CE,CE-B,3,vikram.desai@ldce.ac.in
LDCE-CE-028,Zara Patel,zara.patel@ldce.ac.in,CE,CE-B,3,vikram.desai@ldce.ac.in
LDCE-CE-029,Yash Parikh,yash.parikh@ldce.ac.in,CE,CE-B,3,vikram.desai@ldce.ac.in
LDCE-CE-030,Kiara Dave,kiara.dave@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-031,Dev Choudhary,dev.choudhary@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-032,Myra Saxena,myra.saxena@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-CE-033,Krish Bhatia,krish.bhatia@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-CE-034,Avni Tiwari,avni.tiwari@ldce.ac.in,CE,CE-B,3,vikram.desai@ldce.ac.in
LDCE-CE-035,Rudra Mishra,rudra.mishra@ldce.ac.in,CE,CE-B,3,vikram.desai@ldce.ac.in
LDCE-CE-036,Sia Kulkarni,sia.kulkarni@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-037,Lakshay Yadav,lakshay.yadav@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-CE-038,Pooja Hegde,pooja.hegde@ldce.ac.in,CE,CE-B,3,vikram.desai@ldce.ac.in
LDCE-CE-039,Tanay Dalvi,tanay.dalvi@ldce.ac.in,CE,CE-B,3,rajesh.patel@ldce.ac.in
LDCE-CE-040,Nandini Pillai,nandini.pillai@ldce.ac.in,CE,CE-B,3,meena.shah@ldce.ac.in
LDCE-ME-001,Harsh Raval,harsh.raval@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-002,Sneha Patel,sneha.patel@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-003,Raj Kothari,raj.kothari@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-004,Neha Barot,neha.barot@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-005,Karan Vyas,karan.vyas@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-006,Ankita Prajapati,ankita.prajapati@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-007,Mihir Solanki,mihir.solanki@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-008,Tanvi Gajjar,tanvi.gajjar@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-009,Jayesh Mistry,jayesh.mistry@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-010,Roshni Darji,roshni.darji@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-011,Parth Dhami,parth.dhami@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-012,Khushi Panchal,khushi.panchal@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-013,Nirav Thakor,nirav.thakor@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-014,Heena Makwana,heena.makwana@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-015,Chirag Rathod,chirag.rathod@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-016,Komal Soni,komal.soni@ldce.ac.in,ME,ME-A,3,priya.mehta@ldce.ac.in
LDCE-ME-017,Darshan Prajapati,darshan.prajapati@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-ME-018,Pooja Vaghela,pooja.vaghela@ldce.ac.in,ME,ME-A,3,ramesh.joshi@ldce.ac.in
LDCE-EC-001,Manav Sanghvi,manav.sanghvi@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-002,Drashti Contractor,drashti.contractor@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-003,Yuvraj Suthar,yuvraj.suthar@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-004,Jhanvi Dalal,jhanvi.dalal@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-005,Darshan Thaker,darshan.thaker@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-006,Rinku Vaghela,rinku.vaghela@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-007,Vatsal Amin,vatsal.amin@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-008,Bhavika Chaudhary,bhavika.chaudhary@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-009,Tushar Jadav,tushar.jadav@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-010,Nidhi Bhavsar,nidhi.bhavsar@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-011,Gaurav Chavda,gaurav.chavda@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-012,Sonal Parmar,sonal.parmar@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-013,Jaymin Gohel,jaymin.gohel@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-014,Vrinda Doshi,vrinda.doshi@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-015,Rahul Limbachiya,rahul.limbachiya@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-016,Prachi Solanki,prachi.solanki@ldce.ac.in,EC,EC-A,3,amit.bhatt@ldce.ac.in
LDCE-EC-017,Vivek Tanna,vivek.tanna@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
LDCE-EC-018,Minal Jain,minal.jain@ldce.ac.in,EC,EC-A,3,neha.pandya@ldce.ac.in
